ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;"rodzaj placówki";czy publiczna;Identyfikator szkoły;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52934;dla młodzieży;Tak;040101-02P07;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;ul. Szkolna 6;28;42,85714286;23,47599729;43;13;28;36;30,35033537;20;20;29;55,03448276;30,28654277;40;25;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52933;dla młodzieży;Tak;040101-23P06;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 5;44;51,04545455;23,45203475;50;27;44;31,18181818;21,08992944;24;20;44;51,47727273;31,03186679;45,5;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88693;dla młodzieży;Tak;040104-12P0F;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;79;6;58,66666667;11,51327736;60;;6;42,66666667;22,23110933;38;;6;63,83333333;31,81413033;70;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88691;dla młodzieży;Tak;040104-17P0W;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;81;4;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88690;dla młodzieży;Tak;040104-18P0L;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;43;10;48,9;17,51827617;49;33;10;28;22,41428116;20;12;10;43;29,59391829;27;22;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91719;dla młodzieży;Tak;040104-19P0A;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;ul. Toruńska 8;17;57,35294118;14,65260939;56;47;17;33,17647059;23,31431091;32;32;17;56,11764706;32,10072814;49;91;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88692;dla młodzieży;Tak;040104-20P0O;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;46;3;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91716;dla młodzieży;Tak;040104-21PN6;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;ul. Szkolna 4;12;65,16666667;14,1940911;69;60;12;42,33333333;22,05800434;36;72;12;67,75;29,62860386;78;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Bądkowo;Gmina wiejska;0401052;109953;dla młodzieży;Tak;040105-05P24;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;ul. Włocławska 13;34;64,38235294;18,65635786;68;84;34;60,82352941;28,31386128;66;76;32;69,8125;27,4048781;74,5;95;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Ciechocinek;Gmina miejska;0401021;85208;dla młodzieży;Tak;040102-01P01;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;ul. Mikołaja Kopernika 18;24;58,95833333;18,09576186;61;60;24;46;23,43786111;46;20;24;74;26,89020887;84,5;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Ciechocinek;Gmina miejska;0401021;262224;dla młodzieży;Tak;040102-02PNJ;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;ul. Wojska Polskiego 37;16;55,6875;17,2544152;57;40;16;43;26,0959767;38;20;16;68,1875;30,90351669;79;78;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;0401062;91660;dla młodzieży;Tak;040106-04P13;PUBLICZNA SZKOŁA PODSTAWOWA IM. PRYMASA TYSIĄCLECIA KARDYNAŁA STEFANA WYSZYŃSKIEGO W KONECKU;Koneck;ul. Włodzimierza Lubańskiego 15;17;56,94117647;18,40546782;58;49;17;34,58823529;24,42529745;24;16;14;58,64285714;27,46063974;53,5;69;;;;;;;;;;;3;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;0401062;86316;dla młodzieży;Nie;040106-09P0P;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;1;4;;;;;4;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Nieszawa;Gmina miejska;0401031;122459;dla młodzieży;Tak;040103-02P14;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;ul. Zjazd 5;9;47,55555556;14,59917129;51;;9;51,55555556;27,35410232;48;72;9;48,44444444;20,73703671;38;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Raciążek;Gmina wiejska;0401072;87075;dla młodzieży;Tak;040107-25P0Q;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;ul. Szkolna 3;16;54,5;20,40220576;56,5;36;16;47;26,55183609;36;28;16;59,3125;29,10266042;63,5;85;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110118;dla młodzieży;Tak;040108-04P0A;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;16;13;67;14,24510712;71;71;13;50,46153846;27,42434456;40;36;11;64,81818182;27,45514749;80;96;;;;;;;;;;;2;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110150;dla młodzieży;Tak;040108-06P0O;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;2;3;;;;;3;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110189;dla młodzieży;Tak;040108-07P0D;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;25;10;62,2;19,32252571;66,5;78;10;47,6;30,85190432;32;32;10;67,6;24,80806321;68,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;53713;dla młodzieży;Tak;040109-03P04;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;ul. Leśna 3a;9;59;13,0128142;60;53;9;44,44444444;20,86523483;44;;9;64,88888889;29,45597259;62;35;;;;;;;;;;;;;;;;;;;;;;;;;
