ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52934;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;ul. Szkolna 6;46;51;20;53;47;46;44;26;40;16;47;61;28;58;27;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52933;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 5;61;50;19;51;62;61;30;18;28;28;62;45;25;38;31;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;263579;dla młodzieży;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;52;70;15;69;69;52;56;22;56;48;52;75;26;87;100;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88693;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;79;5;;;;;5;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88691;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;81;10;46;10;49;36;10;40;21;44;20;10;57;31;60;96;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88690;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;43;11;55;18;56;44;11;23;15;16;12;11;53;26;47;36;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91719;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;ul. Toruńska 8;19;56;14;60;47;19;33;15;28;24;18;50;27;49;20;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88692;dla młodzieży;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;46;8;;;;;8;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91716;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;ul. Szkolna 4;26;50;20;49;22;26;36;24;32;32;26;56;29;55;25;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Bądkowo;Gmina wiejska;0401052;109953;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;ul. Włocławska 13;34;56;12;57;60;34;51;23;48;36;34;53;25;46;25;;;;;;;;;;;;;;;;;;;;;;;;;
