ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski_liczba zdających;język polski_wynik średni (%);język polski_odchylenie standardowe (%);język polski_mediana (%);język polski_modalna (%);matematyka_liczba zdających;matematyka_wynik średni (%);matematyka_odchylenie standardowe (%);matematyka_mediana (%);matematyka_modalna (%);język angielski_liczba zdających;język angielski_wynik średni (%);język angielski_odchylenie standardowe (%);język angielski_mediana (%);język angielski_modalna (%);język francuski_liczba zdających;język francuski_wynik średni (%);język francuski_odchylenie standardowe (%);język francuski_mediana (%);język francuski_modalna (%);język hiszpański_liczba zdających;język hiszpański_wynik średni (%);język hiszpański_odchylenie standardowe (%);język hiszpański_mediana (%);język hiszpański_modalna (%);język niemiecki_liczba zdających;język niemiecki_wynik średni (%);język niemiecki_odchylenie standardowe (%);język niemiecki_mediana (%);język niemiecki_modalna (%);język rosyjski_liczba zdających;język rosyjski_wynik średni (%);język rosyjski_odchylenie standardowe (%);język rosyjski_mediana (%);język rosyjski_modalna (%);język włoski_liczba zdających;język włoski_wynik średni (%);język włoski_odchylenie standardowe (%);język włoski_mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;401011;52934;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;ul. Szkolna 6;46.0;51.0;20.0;53.0;47.0;46.0;44.0;26.0;40.0;16.0;47.0;61.0;28.0;58.0;27.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;401011;52933;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 5;61.0;50.0;19.0;51.0;62.0;61.0;30.0;18.0;28.0;28.0;62.0;45.0;25.0;38.0;31.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;401011;263579;dla młodzieży;Tak;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;52.0;70.0;15.0;69.0;69.0;52.0;56.0;22.0;56.0;48.0;52.0;75.0;26.0;87.0;100.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;401042;88693;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;79;5.0;;;;;5.0;;;;;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;401042;88691;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;81;10.0;46.0;10.0;49.0;36.0;10.0;40.0;21.0;44.0;20.0;10.0;57.0;31.0;60.0;96.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;401042;88690;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;43;11.0;55.0;18.0;56.0;44.0;11.0;23.0;15.0;16.0;12.0;11.0;53.0;26.0;47.0;36.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;401042;91719;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;ul. Toruńska 8;19.0;56.0;14.0;60.0;47.0;19.0;33.0;15.0;28.0;24.0;18.0;50.0;27.0;49.0;20.0;;;;;;;;;;;1.0;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;401042;88692;dla młodzieży;Tak;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;46;8.0;;;;;8.0;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;401042;91716;dla młodzieży;Tak;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;ul. Szkolna 4;26.0;50.0;20.0;49.0;22.0;26.0;36.0;24.0;32.0;32.0;26.0;56.0;29.0;55.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Bądkowo;Gmina wiejska;401052;109953;dla młodzieży;Tak;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;ul. Włocławska 13;34.0;56.0;12.0;57.0;60.0;34.0;51.0;23.0;48.0;36.0;34.0;53.0;25.0;46.0;25.0;;;;;;;;;;;;;;;;;;;;;;;;;
