ID OKE;województwo - nazwa;powiat - nazwa;Gmina - nazwa;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Identyfikator szkoły;Nazwa szkoły;Miejscowość;Ulica nr;liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%);liczba zdających;wynik średni (%);odchylenie standardowe (%);mediana (%);modalna (%)
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52934;dla młodzieży;Tak;040101-02P07;SZKOŁA PODSTAWOWA NR 3;Aleksandrów Kujawski;ul. Szkolna 6;58;59,01724138;16,62205782;60;69;58;39,65517241;24,30024246;30;20;58;57,0862069;28,7091746;57;29;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;52933;dla młodzieży;Tak;040101-23P06;SZKOŁA PODSTAWOWA NR 1;Aleksandrów Kujawski;ul. gen. Władysława Sikorskiego 5;107;60,71962617;18,57935463;64;64;108;41,48148148;26,03469248;34;12;107;54,41121495;28,21047504;51;16;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina miejska;0401011;263579;dla młodzieży;Tak;040101-25PND;PUBLICZNA SZKOŁA PODSTAWOWA TOWARZYSTWA SALEZJAŃSKIEGO IM. ŚW. JANA BOSKO;Aleksandrów Kujawski;ul. Fryderyka Chopina 24;58;73,32758621;11,72293351;71;82;58;59,10344828;26,50223781;62;68;58;73,96551724;23,69560233;85;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88693;dla młodzieży;Tak;040104-12P0F;SZKOŁA PODSTAWOWA IM. WINCENTEGO PIOTROWSKIEGO W WOŁUSZEWIE;Wołuszewo;79;12;75,66666667;11,25709653;77;58;12;65,66666667;26,35442194;76;84;12;65,83333333;26,48846709;71;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88691;dla młodzieży;Tak;040104-17P0W;SZKOŁA PODSTAWOWA IM. KS. KAN. JANA MATUSIAKA W OSTROWĄSIE;Ostrowąs;81;10;69,7;11,11800342;69;64;10;47,6;25,45270123;38;28;10;65,3;26,08850322;52;49;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88690;dla młodzieży;Tak;040104-18P0L;SZKOŁA PODSTAWOWA IM. POWSTAŃCÓW WIELKOPOLSKICH W OPOKACH;Opoki;43;10;60,7;22,61879749;68;;10;36,8;28,32948994;22;20;10;56;29,90986459;45,5;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91719;dla młodzieży;Tak;040104-19P0A;SZKOŁA PODSTAWOWA IM. TADEUSZA KOŚCIUSZKI W SŁUŻEWIE;Służewo;ul. Toruńska 8;15;59,73333333;10,95120491;64;64;15;35,73333333;24,76413177;28;16;15;43,8;31,64216596;25;20;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;88692;dla młodzieży;Tak;040104-20P0O;"SZKOŁA PODSTAWOWA IM.MJR HENRYKA DOBRZAŃSKIEGO ""HUBALA"" W PRZYBRANOWIE";Przybranowo;46;10;65;9,654014709;60;56;10;38,4;25,99692289;32;32;10;36;22,98695282;31;44;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Aleksandrów Kujawski;Gmina wiejska;0401042;91716;dla młodzieży;Tak;040104-21PN6;SZKOŁA PODSTAWOWA IM. MARII DANILEWICZ ZIELIŃSKIEJ W STAWKACH;Stawki;ul. Szkolna 4;38;63,36842105;17,67457444;70;73;38;37,47368421;23,15023797;32;20;38;54;28,74845534;51;15;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Bądkowo;Gmina wiejska;0401052;109953;dla młodzieży;Tak;040105-05P24;SZKOŁA PODSTAWOWA W BĄDKOWIE;Bądkowo;ul. Włocławska 13;54;61,01851852;15,36047205;62;69;54;45,11111111;26,64906827;40;24;54;59,2962963;29,04124119;49;95;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Ciechocinek;Gmina miejska;0401021;85208;dla młodzieży;Tak;040102-01P01;SZKOŁA PODSTAWOWA NR 1 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO;Ciechocinek;ul. Mikołaja Kopernika 18;60;66,3;16,81596464;71;82;60;45,8;27,3586062;40;16;60;69,8;28,65647106;83;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Ciechocinek;Gmina miejska;0401021;262224;dla młodzieży;Tak;040102-02PNJ;SZKOŁA PODSTAWOWA NR 3 IM. POLSKICH OLIMPIJCZYKÓW W CIECHOCINKU;Ciechocinek;ul. Wojska Polskiego 37;59;59,08474576;22,43430193;60;80;59;37,96610169;27,42136128;28;16;59;62,33898305;30,82240555;75;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;0401062;91660;dla młodzieży;Tak;040106-04P13;PUBLICZNA SZKOŁA PODSTAWOWA IM. PRYMASA TYSIĄCLECIA KARDYNAŁA STEFANA WYSZYŃSKIEGO W KONECKU;Koneck;ul. Włodzimierza Lubańskiego 15;17;63,47058824;9,816658393;62;60;17;41,17647059;24,57218728;32;24;17;60,76470588;25,39460205;62;40;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;0401062;7232;dla młodzieży;Nie;040106-08P00;SZKOŁA PODSTAWOWA W STRASZEWIE;Straszewo;17;9;51,55555556;7,425348643;49;44;9;20,88888889;13,82786594;20;12;9;42,33333333;18,3545332;45;27;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Koneck;Gmina wiejska;0401062;86316;dla młodzieży;Nie;040106-09P0P;SZKOŁA PODSTAWOWA W ŚWIĘTEM;Święte;1;5;55,8;17,302023;62;;5;23,2;11,42628549;20;;5;38,6;17,02468796;38;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Nieszawa;Gmina miejska;0401031;122459;dla młodzieży;Tak;040103-02P14;SZKOŁA PODSTAWOWA W NIESZAWIE;Nieszawa;ul. Zjazd 5;18;57,83333333;19,75474627;62;64;18;33,77777778;15,73232891;32;24;18;43,72222222;27,23520099;31;29;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Raciążek;Gmina wiejska;0401072;87075;dla młodzieży;Tak;040107-25P0Q;SZKOŁA PODSTAWOWA IM. KOMISJI EDUKACJI NARODOWEJ W RACIĄŻKU;Raciążek;ul. Szkolna 3;41;65,14634146;13,61949997;67;58;41;54,82926829;25,6694774;52;52;41;63,3902439;26,88265199;69;91;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110118;dla młodzieży;Tak;040108-04P0A;SZKOŁA PODSTAWOWA W ZBRACHLINIE;Zbrachlin;16;35;66,31428571;14,52243866;69;69;35;58,4;30,86856931;64;80;35;65,37142857;29,48421923;80;93;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110150;dla młodzieży;Tak;040108-06P0O;SZKOŁA PODSTAWOWA W NISZCZEWACH;Niszczewy;2;8;73,5;15,8113883;80;82;8;51;29,58039892;50;20;7;56,57142857;24,82428041;53;;;;;;;;;;;;1;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Waganiec;Gmina wiejska;0401082;110189;dla młodzieży;Tak;040108-07P0D;SZKOŁA PODSTAWOWA W BRUDNOWIE;Brudnowo;25;13;64,61538462;15,92066128;69;71;13;37,84615385;27,11186557;24;16;13;49,46153846;28,55929159;40;16;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;53713;dla młodzieży;Tak;040109-03P04;SZKOŁA PODSTAWOWA IM. POLSKI NIEPODLEGŁEJ W ZESPOLE SZKÓŁ W ZAKRZEWIE;Zakrzewo;ul. Leśna 3a;28;70,64285714;11,14583294;70;67;28;55,57142857;30,37554064;56;92;28;54,32142857;26,06866424;62;62;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;119049;dla młodzieży;Nie;040109-10P0O;SZKOŁA PODSTAWOWA STOWARZYSZENIA PRZYJACIÓŁ SZKÓŁ KATOLICKICH IM. ŚW. JÓZEFA SANCHEZA DEL RIOW SINIARZEWIE;Siniarzewo;74;14;54,21428571;11,11098923;51;47;14;30,85714286;20,13829736;24;24;14;48,71428571;20,82384818;42,5;36;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Aleksandrowski;Zakrzewo;Gmina wiejska;0401092;53481;dla młodzieży;Tak;040109-11P0D;SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W SĘDZINIE;Sędzin;27A;15;70,66666667;10,47960983;71;56;15;52,53333333;24,43458387;60;64;15;55,53333333;25,16311233;60;18;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;0402062;51944;dla młodzieży;Tak;040206-04P2B;SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA W RADOSZKACH;Radoszki;64A;27;66,88888889;16,06084111;67;58;27;41,62962963;25,32770134;32;40;27;48,55555556;26,03606236;45;24;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bartniczka;Gmina wiejska;0402062;271930;dla młodzieży;Tak;040206-25PND;SZKOŁA PODSTAWOWA W JASTRZĘBIU;Jastrzębie;14;23;61,56521739;13,29539341;62;51;23;58,08695652;20,56149429;52;44;23;52,69565217;23,261154;55;31;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;51808;dla młodzieży;Tak;040202-08P09;SZKOŁA PODSTAWOWA IM. MAŁGORZATY SULEK W DRUŻYNACH;Drużyny;54;12;75,08333333;16,60551281;80;64;12;64;31,4960315;70;92;12;70,33333333;27,92350662;80;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;52420;dla młodzieży;Tak;040202-09P0Y;SZKOŁA PODSTAWOWA W KRUSZYNACH;Kruszyny;7a;9;82,44444444;10,02342934;82;82;9;59,11111111;23,53458186;60;;9;51,33333333;30,48861354;45;91;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;52526;dla młodzieży;Tak;040202-10P0C;SZKOŁA PODSTAWOWA IM. DYWIZJONU 303 W MAŁKACH;Małki;30;13;77,46153846;11,09827003;80;84;13;44,30769231;24,92877428;40;20;13;59,23076923;27,84062844;51;82;;;;;;;;;;;;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;54316;dla młodzieży;Tak;040202-11P01;SZKOŁA PODSTAWOWA W NIEŻYWIĘCIU;Nieżywięć;234;19;72,47368421;15,29832609;73;73;19;46,10526316;26,67128307;40;20;19;62,63157895;25,94368502;73;73;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Bobrowo;Gmina wiejska;0402022;55097;dla młodzieży;Tak;040202-12PNJ;SZKOŁA PODSTAWOWA IM. JANA PAWŁA II W BOBROWIE;Bobrowo;33;10;60,1;13,14115672;63,5;58;10;53,6;27,83954023;44;24;10;37,9;21,22946066;38,5;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;6246;dla młodzieży;Tak;040201-04P2O;SZKOŁA PODSTAWOWA NR 7 W BRODNICY;Brodnica;ul. Matejki 5;131;63,19083969;15,08050382;64;62;132;56,60606061;28,40608065;56;72;132;65,54545455;27,95623301;73;96;;;;;;;;;;;;;;;;1;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3213;dla młodzieży;Tak;040201-36P09;SZKOŁA PODSTAWOWA NR 2 Z ODDZIAŁAMI INTEGRACYJNYMI IM. POLSKICH OLIMPIJCZYKÓW W BRODNICY;Brodnica;ul. Kolejowa 62;77;71,87012987;11,72338173;71;69;77;66,38961039;26,24369106;68;92;77;75,03896104;20,63878681;80;98;;;;;;;;;;;;;;;;;;;;;;;;;
1;Kujawsko-Pomorskie;Brodnicki;Brodnica;Gmina miejska;0402011;3205;dla młodzieży;Tak;040201-38P0N;SZKOŁA PODSTAWOWA NR 1 IM. HENRYKA SIENKIEWICZA W BRODNICY;Brodnica;ul. 3 Maja 4;91;57,74725275;17,00975377;62;67;91;35,51648352;23,16370913;28;24;91;48,85714286;28,35550276;42;20;;;;;;;;;;;;;;;;;;;;;;;;;
