nazwa_zmiennej;kraj;wojewodztwo;status_zdajacych;plec;typ_informacji_z_jednostka_miary;rok;wartosc;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2010;160988;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2010;205635;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2011;150984;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2011;192840;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2012;145321;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2012;184697;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2013;139294;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2013;175191;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2014;130721;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2014;163253;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2015;123785;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2015;151783;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;mężczyźni;wartość [osoba];2016;115469;
Liczba osób, które przystąpiły/zdały egzamin maturalny;Polska;Ogółem;przystąpiło;kobiety;wartość [osoba];2016;142903;
