nazwa_zmiennej;kraj;formula egzaminu;rodzaj_egzaminu;poziom_egzaminu;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język polski;kobiety;relacja [%];2015;67,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język białoruski;kobiety;relacja [%];2015;77,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język litewski;kobiety;relacja [%];2015;83,5;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język ukraiński;kobiety;relacja [%];2015;77,4;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;matematyka;kobiety;relacja [%];2015;52,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język angielski;kobiety;relacja [%];2015;75,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język niemiecki;kobiety;relacja [%];2015;71,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język francuski;kobiety;relacja [%];2015;82,1;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język rosyjski;kobiety;relacja [%];2015;68,7;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język hiszpański;kobiety;relacja [%];2015;83,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język włoski;kobiety;relacja [%];2015;78,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język polski;mężczyźni;relacja [%];2015;62,9;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język białoruski;mężczyźni;relacja [%];2015;67,8;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język litewski;mężczyźni;relacja [%];2015;73,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język ukraiński;mężczyźni;relacja [%];2015;78,3;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;matematyka;mężczyźni;relacja [%];2015;58,0;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język angielski;mężczyźni;relacja [%];2015;78,2;
Średnie wyniki egzaminu maturalnego;Polska;formuła 2015;pisemny;podstawowy;język niemiecki;mężczyźni;relacja [%];2015;70,7;
