nazwa_zmiennej;kraj;wojewodztwo;przedmiot;plec;typ_informacji_z_jednostka_miary;rok;wartosc;flaga;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język polski;ogółem;relacja [%];2019;63;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język polski;dziewczęta;relacja [%];2019;69;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język polski;chłopcy;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Matematyka;ogółem;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Matematyka;dziewczęta;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Matematyka;chłopcy;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język angielski;ogółem;relacja [%];2019;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język angielski;dziewczęta;relacja [%];2019;60;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język angielski;chłopcy;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język niemiecki;ogółem;relacja [%];2019;42;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język niemiecki;dziewczęta;relacja [%];2019;46;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język niemiecki;chłopcy;relacja [%];2019;37;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język rosyjski;ogółem;relacja [%];2019;48;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język rosyjski;dziewczęta;relacja [%];2019;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język rosyjski;chłopcy;relacja [%];2019;42;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język francuski;ogółem;relacja [%];2019;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język francuski;dziewczęta;relacja [%];2019;62;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język francuski;chłopcy;relacja [%];2019;57;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język hiszpański;ogółem;relacja [%];2019;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język hiszpański;dziewczęta;relacja [%];2019;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język hiszpański;chłopcy;relacja [%];2019;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język włoski;ogółem;relacja [%];2019;58;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język włoski;dziewczęta;relacja [%];2019;53;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Ogółem;Język włoski;chłopcy;relacja [%];2019;70;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język polski;ogółem;relacja [%];2019;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język polski;dziewczęta;relacja [%];2019;67;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język polski;chłopcy;relacja [%];2019;56;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Matematyka;ogółem;relacja [%];2019;43;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Matematyka;dziewczęta;relacja [%];2019;43;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Matematyka;chłopcy;relacja [%];2019;44;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język angielski;ogółem;relacja [%];2019;60;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język angielski;dziewczęta;relacja [%];2019;61;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język angielski;chłopcy;relacja [%];2019;59;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język niemiecki;ogółem;relacja [%];2019;41;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język niemiecki;dziewczęta;relacja [%];2019;45;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język niemiecki;chłopcy;relacja [%];2019;37;;;;;;;;;;;;;;;;;;;;
Średnie wyniki uczniów na egzaminie ósmoklasisty;Polska;Dolnośląskie;Język rosyjski;ogółem;relacja [%];2019;68;;;;;;;;;;;;;;;;;;;;
